date,company_tax,ecommerce_tax,orders,units,source
2026-08-21,4214029567.32,113503688.04,1288.0,29970.795000000002,Reporte subido
2026-08-22,6338641259.21,91063801.39,870.0,21217.765,Reporte subido
2026-08-23,5497647427.09,11437875.629999999,108.0,2894.937,Reporte subido
2026-08-24,3820994796.93,127396886.42999999,1139.0,32243.032,Reporte subido
2026-08-25,3219508061.06,90923616.57,843.0,22881.41,Reporte subido
2026-08-26,3117814755.61,68397681.07,621.0,14782.349,Reporte subido
2026-08-27,3477321852.23,74601613.63,862.0,19602.668,Reporte subido
2026-08-28,4602303725.72,98220432.25,1070.0,29367.205,Reporte subido
2026-08-29,7189322085.81,88333546.63,734.0,23067.49,Reporte subido
2026-08-30,5862631306.52,17385514.560000002,132.0,3935.796,Reporte subido
2026-08-31,4754899976.99,114222752.44,960.0,31358.458,Reporte subido
2026-09-01,4573662131.32,154748266.45,1201.0,38448.0,Reporte subido
2026-09-02,4247787993.31,117154576.83,921.0,27197.001,Reporte subido
2026-09-03,4713975219.94,123219464.78,1188.0,33045.718,Reporte subido
2026-09-04,5144121659.4,146989312.64,1502.0,46839.23,Reporte subido
2026-09-05,8603428276.98,161031558.36,1199.0,40514.678,Reporte subido
2026-09-06,7033358270.75,18465243.2,156.0,5523.495000000001,Reporte subido
2026-09-07,5088258854.3,158914434.03,1408.0,48433.371,Reporte subido
2026-09-08,4059520876.1,173774912.04,1473.0,46491.873,Reporte subido
2026-09-09,3628163673.52,100421695.2,896.0,24794.769,Reporte subido
2026-09-10,4054062760.8,103385478.11,1048.0,27256.072,Reporte subido
2026-09-11,4574682157.78,116065540.22,1324.0,36584.9,Reporte subido
2026-09-12,6664076727.190001,123951055.94,1067.0,33600.199,Reporte subido
2026-09-13,5578666237.12,26385186.54,241.0,7475.54,Reporte subido
2026-09-14,4192436626.02,128001356.45,1177.0,39611.48,Reporte subido
2026-09-15,3373077516.91,136735151.66,1184.0,33498.152,Reporte subido
2026-09-16,3186883537.09,70665978.25,654.0,17014.832,Reporte subido
2026-09-17,3643315774.47,83963279.05,1062.0,26629.216,Reporte subido
